,,Armada,Hungrybox,Mango,Mew2King,Leffen,Plup,SFAT,Westballz,Axe,Shroomed,Swedish Delight,Wizzrobe,Ice,PewPewU,Duck,S2J,Nintendude,n0ne,Lucky,Silent Wolf,The Moon,ChuDat,DruggedFox,Professor Pro,Colbol,MacD,dizzkidboogie,MikeHaze,KirbyKaze,Wobbles,Zhu,aMSa,Laudandus,KJH,Gahtzu,Chillin,Javi,HugS,Bladewise,Abate,Gravy,Prince Abu,Santiago,Trif,Captain Faceroll,Connor,Infinite Numbers,Ryan Ford,Crush,Mafia,,"Vs Worse
  Wins        |       Losses",
1,Armada,,3,3,1,5,,,2,,1,,,1,,2,1,,,,,,3,1,1,,,1,,,,,,,2,,,,1,,,,,,1,,,1,,,,,30,4
2,Hungrybox,1,,1,5,4,10,1,2,1,1,3,3,,2,4,2,,2,4,,1,3,4,2,11,,,,1,,,,,1,5,,,3,1,1,2,1,,,,,,,,,,81,15
3,Mango,2,3,,1,2,0,1,,0,1,,2,2,1,1,,,,1,,1,0,1,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,18,8
4,Mew2King,0,5,1,,1,4,3,2,2,1,,3,,2,,2,,0,,,2,1,,,5,1,,2,1,,1,1,,2,2,,,1,,,1,,,,,,,1,,,,41,9
5,Leffen,1,1,1,1,,1,2,1,3,2,,,2,1,1,,,1,,,1,1,1,1,,2,,1,2,,,,,,,,,1,,,,,,,,,1,,2,,,27,4
6,Plup,,2,1,0,1,,2,3,1,0,0,2,,1,2,2,2,1,,,,1,1,,18,,1,,,,,,,,4,,,,,,,,,,,,,,,,,41,6
7,SFAT,,1,0,2,1,1,,3,5,3,2,0,1,3,1,3,2,1,7,,1,0,1,,,8,4,1,,,,,1,,,1,,4,,,,1,,,1,,,,1,1,,56,39
8,Westballz,0,0,,0,0,0,3,,,,,1,1,,1,6,,2,4,,0,,0,,1,2,,4,,,,,,2,1,,,9,,,,,,,2,1,0,2,,,,39,23
9,Axe,,0,2,1,0,0,2,,,4,1,,1,,2,2,,,1,,2,0,0,,1,,,,,,,,,1,1,,,1,1,,,1,1,,,,,,1,,,21,7
10,Shroomed,0,0,0,0,0,2,0,,0,,0,,,3,1,3,1,,,,1,1,,,1,,0,,,,,,,,,2,,1,,1,,,,,1,,,,,1,,17,8
11,Swedish Delight,,0,,,,1,0,,2,1,,0,1,1,1,1,1,2,2,,2,,0,,,,3,0,2,,,,,1,1,1,,,,,,,,,,,,,0,1,,20,11
12,Wizzrobe,,2,0,1,,0,3,0,,,1,,,,1,,,,,,1,1,4,,0,,,,,,,,2,,1,1,,,,,,,,,,,,,,1,,12,3
13,Ice,0,,0,,0,,0,0,0,,0,,,,,0,0,,1,,1,,1,,2,,0,,,,,,,2,,1,,,,,,,,,,,,,1,,,9,5
14,PewPewU,,0,0,0,0,0,1,,,1,0,,,,,1,,,1,,,,,,1,1,,1,,,,,2,,,,,0,,,,,,,0,,,,,,,7,5
15,Duck,0,0,0,,1,0,1,0,3,1,0,0,,,,,,0,,,2,,,1,,,0,,3,,,,,5,0,1,,,,,,2,,,,,,3,,,,17,11
16,S2J,0,0,,0,,0,4,2,0,1,0,,1,1,,,2,1,3,,0,0,1,1,2,3,2,4,,,,,,,1,1,,13,0,,,0,,,3,,1,,0,,,38,19
17,Nintendude,,,,,,0,0,,,0,0,,1,,,0,,,,,,,0,1,,0,1,1,0,,1,,2,,,,,,,,,,,,,,,0,0,,,6,11
18,n0ne,,0,,1,0,0,0,1,,,0,,,,1,3,,,1,,1,,1,,,2,1,,0,,,,1,1,1,,,2,0,0,1,2,,,,,,3,,1,,18,13
19,Lucky,,1,0,,,,10,5,0,,0,,0,2,,5,,2,,,2,,0,1,1,4,0,3,,,,,1,1,,1,,4,1,,,,2,,8,,,2,,0,,31,14
20,Silent Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,2
21,The Moon,,0,0,0,0,,1,1,0,1,1,0,0,,0,2,,0,2,,,,0,,0,,,,,,,,,1,1,,,0,,,,,,1,,,,1,,0,,4,5
22,ChuDat,0,0,3,3,0,0,1,,1,1,,1,,,,1,,,,,,,0,1,0,,,1,1,,1,,1,,,0,,,,,,1,1,1,,,,,1,,,9,4
23,DruggedFox,0,0,0,,1,0,2,2,1,,3,0,0,,,2,1,0,1,,1,1,,1,2,0,,2,1,,1,,,,,,,3,1,,,,1,1,,1,,3,3,,,20,4
24,Professor Pro,0,0,,,0,,,,,,,,,,0,0,0,,0,,,0,1,,,,,,2,,,,,2,,1,,0,,,,1,,1,,,,0,1,,,8,5
25,Colbol,,0,,0,,1,,0,0,1,,2,0,0,,0,,,1,,1,1,0,,,,3,,,,,,,,30,,,,,2,,,,,1,,,0,0,,,36,10
26,MacD,,,,0,0,,1,0,,,,,,0,,0,1,0,1,,,,1,,,,,0,,,,,,,,1,,3,,,,,,,5,2,,,0,,,11,8
27,dizzkidboogie,0,,,,,1,3,,,1,0,,2,,1,1,3,1,1,,,,,,1,,,,,,,,2,,0,0,,,,,,,,,,,,,1,,,3,4
28,MikeHaze,,,0,0,0,,2,6,,,2,,,0,,0,1,,1,,,0,0,,,1,,,0,,,,,0,1,,,3,0,,,1,,,1,1,,1,1,,,9,9
29,KirbyKaze,,0,,0,0,,,,,,0,,,,0,,1,1,,,,0,0,0,,,,1,,,,,,2,,,,2,,,,3,,,,1,,15,1,,,24,17
30,Wobbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
31,Zhu,,,,0,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,0
32,aMSa,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,2,1,,,4,1
33,Laudandus,,,,,,,0,,,,,0,,0,,,2,1,0,,,0,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,1,0
34,KJH,0,0,,0,,,,0,0,,3,,0,,7,,,0,0,,0,,,0,,,,2,2,,,,,,1,1,,,,,,2,,,1,,,1,0,,,6,7
35,Gahtzu,,0,,0,,0,,0,0,,0,0,,,2,0,,0,,,0,,,,2,,1,0,,,,,,0,,,,1,1,,3,,,,,,,,1,,,6,1
36,Chillin,,,,,,,0,,,0,0,0,0,,0,0,,,0,,,1,,0,,1,2,,,,0,,,0,,,,,0,,,,,,,,,,,,,0,1
37,Javi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
38,HugS,0,0,0,0,0,,4,4,0,0,,,,1,,1,,4,5,,2,,2,1,,2,,4,0,,,1,0,,0,,,,0,,,0,0,,2,1,,3,1,0,,7,6
39,Bladewise,,0,,,,,,,0,,,,,,,2,,1,0,2,,,0,,,,,2,,,,0,,,0,1,,1,,,,,,,1,1,,,,,,2,0
40,Abate,,0,,,,,,,,0,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
41,Gravy,,0,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0
42,Prince Abu,,0,,,,,0,,0,,,,,,0,1,,0,,,,0,,1,,,,0,2,,,,,0,,,,2,,,,,,,0,,,1,,,,1,2
43,Santiago,,,,,,,,,0,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,5,2
44,Trif,0,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
45,Captain Faceroll,,,,,,,1,1,,0,,,,1,,0,,,0,,,,,,0,1,,0,,,,,,0,,,,1,0,,,1,2,,,0,,,,,,0,2
46,Connor,,,,,,,,0,,,,,,,,,,,,,,,0,,,1,,0,,,,,,,,,,0,0,,,,,,2,,,,,,,0,0
47,Infinite Numbers,0,,,,0,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
48,Ryan Ford,,,,0,,,,0,,,0,,,,0,,1,2,0,,0,,0,1,2,,,0,13,,,0,,6,,,,0,,,,1,,,,,,,,,,0,0
49,Crush,,,,,0,,0,,0,,1,,1,,,1,1,,,,,1,0,1,4,2,1,0,0,,,0,,1,1,,,0,,,,,,,,,,,,31,,31,0
50,Mafia,,,0,,,,0,,,0,0,0,,,,,,0,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,#NAME?,8,16,11,11,48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,$A$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FALSE,#VALUE!,Armada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Abate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,aMSa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Armada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bladewise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Captain Faceroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Chillin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ChuDat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Colbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Crush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,dizzkidboogie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DruggedFox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gahtzu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gravy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HugS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hungrybox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Infinite Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Javi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KirbyKaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KJH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Laudandus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Leffen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MacD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mafia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mew2King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MikeHaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,n0ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Nintendude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PewPewU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Plup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Prince Abu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Professor Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ryan Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Santiago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SFAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shroomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Silent Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Swedish Delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Westballz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Wizzrobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Wobbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,